Format: p[node, period]
gamma[109, 103, 17] = 0.0
gamma[109, 103, 18] = 0.0
gamma[109, 103, 19] = 0.0
gamma[109, 103, 20] = 0.0
gamma[109, 103, 21] = 0.0
gamma[109, 103, 22] = 0.0
gamma[109, 103, 23] = 0.0
gamma[109, 103, 24] = 0.0
gamma[109, 104, 1] = 0.0
gamma[109, 104, 2] = 0.0
gamma[109, 104, 3] = 0.0
gamma[109, 104, 4] = 0.0
gamma[109, 104, 5] = 0.0
gamma[109, 104, 6] = 0.0
gamma[109, 104, 7] = 0.0
gamma[109, 104, 8] = 0.0
gamma[109, 104, 9] = 0.0
gamma[109, 104, 10] = 0.0
gamma[109, 104, 11] = 0.0
gamma[109, 104, 12] = 0.0
gamma[109, 104, 13] = 0.0
gamma[109, 104, 14] = 0.0
gamma[109, 104, 15] = 0.0
gamma[109, 104, 16] = 0.0
gamma[109, 104, 17] = 0.0
gamma[109, 104, 18] = 0.0
gamma[109, 104, 19] = 0.0
gamma[109, 104, 20] = 0.0
gamma[109, 104, 21] = 0.0
gamma[109, 104, 22] = 0.0
gamma[109, 104, 23] = 0.0
gamma[109, 104, 24] = 0.0
gamma[109, 108, 1] = 0.0
gamma[109, 108, 2] = 0.0
gamma[109, 108, 3] = 0.0
gamma[109, 108, 4] = 0.0
gamma[109, 108, 5] = 0.0
gamma[109, 108, 6] = 0.0
gamma[109, 108, 7] = 0.89
gamma[109, 108, 8] = 0.82
gamma[109, 108, 9] = 0.0
gamma[109, 108, 10] = 0.0
gamma[109, 108, 11] = 0.0
gamma[109, 108, 12] = 0.0
gamma[109, 108, 13] = 0.0
gamma[109, 108, 14] = 0.0
gamma[109, 108, 15] = 0.0
gamma[109, 108, 16] = 0.0
gamma[109, 108, 17] = 0.0
gamma[109, 108, 18] = 0.0
gamma[109, 108, 19] = 0.0
gamma[109, 108, 20] = 0.0
gamma[109, 108, 21] = 0.0
gamma[109, 108, 22] = 0.85
gamma[109, 108, 23] = 0.0
gamma[109, 108, 24] = 0.0
gamma[109, 111, 1] = 0.0
gamma[109, 111, 2] = 0.0
gamma[109, 111, 3] = 0.0
gamma[109, 111, 4] = 0.0
gamma[109, 111, 5] = 0.0
gamma[109, 111, 6] = 0.0
gamma[109, 111, 7] = 0.0
gamma[109, 111, 8] = 0.0
gamma[109, 111, 9] = 0.0
gamma[109, 111, 10] = 0.0
gamma[109, 111, 11] = 0.0
gamma[109, 111, 12] = 0.0
gamma[109, 111, 13] = 0.0
gamma[109, 111, 14] = 0.0
gamma[109, 111, 15] = 0.0
gamma[109, 111, 16] = 0.0
gamma[109, 111, 17] = 0.0
gamma[109, 111, 18] = 0.0
gamma[109, 111, 19] = 0.0
gamma[109, 111, 20] = 0.0
gamma[109, 111, 21] = 0.0
gamma[109, 111, 22] = 0.0
gamma[109, 111, 23] = 0.0
gamma[109, 111, 24] = 0.0
gamma[109, 112, 1] = 0.0
gamma[109, 112, 2] = 0.0
gamma[109, 112, 3] = 0.0
gamma[109, 112, 4] = 0.0
gamma[109, 112, 5] = 0.0
gamma[109, 112, 6] = 0.0
gamma[109, 112, 7] = 0.0
gamma[109, 112, 8] = 0.0
gamma[109, 112, 9] = 0.0
gamma[109, 112, 10] = 0.0
gamma[109, 112, 11] = 0.0
gamma[109, 112, 12] = 0.0
gamma[109, 112, 13] = 0.0
gamma[109, 112, 14] = 0.0
gamma[109, 112, 15] = 0.0
gamma[109, 112, 16] = 0.0
gamma[109, 112, 17] = 0.0
gamma[109, 112, 18] = 0.0
gamma[109, 112, 19] = 0.0
gamma[109, 112, 20] = 0.0
gamma[109, 112, 21] = 0.0
gamma[109, 112, 22] = 0.0
gamma[109, 112, 23] = 0.0
gamma[109, 112, 24] = 0.0
gamma[124, 103, 1] = 1.46
gamma[124, 103, 2] = 1.35
gamma[124, 103, 3] = 0.0
gamma[124, 103, 4] = 1.46
gamma[124, 103, 5] = 1.46
gamma[124, 103, 6] = 0.0
gamma[124, 103, 7] = 0.0
gamma[124, 103, 8] = 0.0
gamma[124, 103, 9] = 0.0
gamma[124, 103, 10] = 0.0
gamma[124, 103, 11] = 0.0
gamma[124, 103, 12] = 0.0
gamma[124, 103, 13] = 0.0
gamma[124, 103, 14] = 0.0
gamma[124, 103, 15] = 0.0
gamma[124, 103, 16] = 0.0
gamma[124, 103, 17] = 0.0
gamma[124, 103, 18] = 0.0
gamma[124, 103, 19] = 0.0
gamma[124, 103, 20] = 0.0
gamma[124, 103, 21] = 0.0
gamma[124, 103, 22] = 0.0
gamma[124, 103, 23] = 0.0
gamma[124, 103, 24] = 1.35
gamma[124, 115, 1] = 0.0
gamma[124, 115, 2] = 0.0
gamma[124, 115, 3] = 0.0
gamma[124, 115, 4] = 0.0
gamma[124, 115, 5] = 0.0
gamma[124, 115, 6] = 0.0
gamma[124, 115, 7] = 0.0
gamma[124, 115, 8] = 0.0
gamma[124, 115, 9] = 0.0
gamma[124, 115, 10] = 0.0
gamma[124, 115, 11] = 0.0
gamma[124, 115, 12] = 0.0
gamma[124, 115, 13] = 0.0
gamma[124, 115, 14] = 0.0
gamma[124, 115, 15] = 0.0
gamma[124, 115, 16] = 0.0
gamma[124, 115, 17] = 0.0
gamma[124, 115, 18] = 0.0
gamma[124, 115, 19] = 0.0
gamma[124, 115, 20] = 0.0
gamma[124, 115, 21] = 0.0
gamma[124, 115, 22] = 0.0
gamma[124, 115, 23] = 0.0
gamma[124, 115, 24] = 0.0
gamma[110, 105, 1] = 0.0
gamma[110, 105, 2] = 0.0
gamma[110, 105, 3] = 0.0
gamma[110, 105, 4] = 0.0
gamma[110, 105, 5] = 0.0
gamma[110, 105, 6] = 0.0
gamma[110, 105, 7] = 0.0
gamma[110, 105, 8] = 0.0
gamma[110, 105, 9] = 0.0
gamma[110, 105, 10] = 0.0
gamma[110, 105, 11] = 0.0
gamma[110, 105, 12] = 0.0
gamma[110, 105, 13] = 0.0
gamma[110, 105, 14] = 0.0
gamma[110, 105, 15] = 0.0
gamma[110, 105, 16] = 0.0
gamma[110, 105, 17] = 0.0
gamma[110, 105, 18] = 0.0
gamma[110, 105, 19] = 0.0
gamma[110, 105, 20] = 0.0
gamma[110, 105, 21] = 0.0
gamma[110, 105, 22] = 0.0
gamma[110, 105, 23] = 0.0
gamma[110, 105, 24] = 0.0
gamma[110, 106, 1] = 0.0
gamma[110, 106, 2] = 0.0
gamma[110, 106, 3] = 0.0
gamma[110, 106, 4] = 0.0
gamma[110, 106, 5] = 0.0
gamma[110, 106, 6] = 0.0
gamma[110, 106, 7] = 0.0
gamma[110, 106, 8] = 0.0
gamma[110, 106, 9] = 0.0
gamma[110, 106, 10] = 0.0
gamma[110, 106, 11] = 0.0
gamma[110, 106, 12] = 0.0
gamma[110, 106, 13] = 0.0
gamma[110, 106, 14] = 0.0
gamma[110, 106, 15] = 0.0
gamma[110, 106, 16] = 0.0
gamma[110, 106, 17] = 0.0
gamma[110, 106, 18] = 0.0
gamma[110, 106, 19] = 0.0
gamma[110, 106, 20] = 0.0
gamma[110, 106, 21] = 0.0
gamma[110, 106, 22] = 0.0
gamma[110, 106, 23] = 0.0
gamma[110, 106, 24] = 0.0
gamma[110, 111, 1] = 0.0
gamma[110, 111, 2] = 0.0
gamma[110, 111, 3] = 0.0
gamma[110, 111, 4] = 0.0
gamma[110, 111, 5] = 0.0
gamma[110, 111, 6] = 0.0
gamma[110, 111, 7] = 0.0
gamma[110, 111, 8] = 0.0
gamma[110, 111, 9] = 0.0
gamma[110, 111, 10] = 0.0
gamma[110, 111, 11] = 0.0
gamma[110, 111, 12] = 0.0
gamma[110, 111, 13] = 0.0
gamma[110, 111, 14] = 0.0
gamma[110, 111, 15] = 0.0
gamma[110, 111, 16] = 0.0
gamma[110, 111, 17] = 0.0
gamma[110, 111, 18] = 0.0
gamma[110, 111, 19] = 0.0
gamma[110, 111, 20] = 0.0
gamma[110, 111, 21] = 0.0
gamma[110, 111, 22] = 0.0
gamma[110, 111, 23] = 0.0
gamma[110, 111, 24] = 0.0
gamma[110, 112, 1] = 0.0
gamma[110, 112, 2] = 0.0
gamma[110, 112, 3] = 0.0
gamma[110, 112, 4] = 0.0
gamma[110, 112, 5] = 0.0
gamma[110, 112, 6] = 0.0
gamma[110, 112, 7] = 0.0
gamma[110, 112, 8] = 0.0
gamma[110, 112, 9] = 0.0
gamma[110, 112, 10] = 0.0
gamma[110, 112, 11] = 0.0
gamma[110, 112, 12] = 0.0
gamma[110, 112, 13] = 0.0
gamma[110, 112, 14] = 0.0
gamma[110, 112, 15] = 0.0
gamma[110, 112, 16] = 0.0
gamma[110, 112, 17] = 0.0
gamma[110, 112, 18] = 0.0
gamma[110, 112, 19] = 0.0
gamma[110, 112, 20] = 0.0
gamma[110, 112, 21] = 0.0
gamma[110, 112, 22] = 0.0
gamma[110, 112, 23] = 0.0
gamma[110, 112, 24] = 0.0
gamma[107, 108, 1] = 0.0
gamma[107, 108, 2] = 0.0
gamma[107, 108, 3] = 0.0
gamma[107, 108, 4] = 0.0
gamma[107, 108, 5] = 0.0
gamma[107, 108, 6] = 0.0
gamma[107, 108, 7] = 0.0
gamma[107, 108, 8] = 0.0
gamma[107, 108, 9] = 0.0
gamma[107, 108, 10] = 0.0
gamma[107, 108, 11] = 0.0
gamma[107, 108, 12] = 0.0
gamma[107, 108, 13] = 0.0
gamma[107, 108, 14] = 0.0
gamma[107, 108, 15] = 0.0
gamma[107, 108, 16] = 0.0
gamma[107, 108, 17] = 0.0
gamma[107, 108, 18] = 0.0
gamma[107, 108, 19] = 0.0
gamma[107, 108, 20] = 0.0
gamma[107, 108, 21] = 0.0
gamma[107, 108, 22] = 0.0
gamma[107, 108, 23] = 0.0
gamma[107, 108, 24] = 0.0
gamma[108, 107, 1] = 0.0
gamma[108, 107, 2] = 0.0
gamma[108, 107, 3] = 0.0
gamma[108, 107, 4] = 0.0
gamma[108, 107, 5] = 0.0
gamma[108, 107, 6] = 0.0
gamma[108, 107, 7] = 0.0
gamma[108, 107, 8] = 0.0
gamma[108, 107, 9] = 0.0
gamma[108, 107, 10] = 0.0
gamma[108, 107, 11] = 0.0
gamma[108, 107, 12] = 0.0
gamma[108, 107, 13] = 0.0
gamma[108, 107, 14] = 0.0
gamma[108, 107, 15] = 0.0
gamma[108, 107, 16] = 0.0
gamma[108, 107, 17] = 0.0
gamma[108, 107, 18] = 0.0
gamma[108, 107, 19] = 0.0
gamma[108, 107, 20] = 0.0
gamma[108, 107, 21] = 0.0
gamma[108, 107, 22] = 0.0
gamma[108, 107, 23] = 0.0
gamma[108, 107, 24] = 0.0
gamma[108, 109, 1] = -1.15
gamma[108, 109, 2] = 0.0
gamma[108, 109, 3] = 0.0
gamma[108, 109, 4] = 0.0
gamma[108, 109, 5] = 0.0
gamma[108, 109, 6] = 0.0
gamma[108, 109, 7] = 0.0
gamma[108, 109, 8] = 0.0
gamma[108, 109, 9] = 0.0
gamma[108, 109, 10] = 0.0
gamma[108, 109, 11] = 0.0
gamma[108, 109, 12] = 0.0
gamma[108, 109, 13] = 0.0
gamma[108, 109, 14] = 0.0
gamma[108, 109, 15] = 0.0
gamma[108, 109, 16] = 0.0
gamma[108, 109, 17] = 0.0
gamma[108, 109, 18] = 0.0
gamma[108, 109, 19] = 0.0
gamma[108, 109, 20] = 0.0
gamma[108, 109, 21] = 0.0
gamma[108, 109, 22] = 0.0
gamma[108, 109, 23] = -0.99
gamma[108, 109, 24] = 0.0
gamma[111, 109, 1] = 0.0
gamma[111, 109, 2] = 0.0
gamma[111, 109, 3] = 0.0
gamma[111, 109, 4] = 0.0
gamma[111, 109, 5] = 0.0
gamma[111, 109, 6] = 0.0
gamma[111, 109, 7] = 0.0
gamma[111, 109, 8] = 0.0
gamma[111, 109, 9] = 0.0
gamma[111, 109, 10] = 0.0
gamma[111, 109, 11] = 0.0
gamma[111, 109, 12] = 0.0
gamma[111, 109, 13] = 0.0
gamma[111, 109, 14] = 0.0
gamma[111, 109, 15] = 0.0
gamma[111, 109, 16] = 0.0
gamma[111, 109, 17] = 0.0
gamma[111, 109, 18] = 0.0
gamma[111, 109, 19] = 0.0
gamma[111, 109, 20] = 0.0
gamma[111, 109, 21] = 0.0
gamma[111, 109, 22] = 0.0
gamma[111, 109, 23] = 0.0
gamma[111, 109, 24] = 0.0
gamma[111, 110, 1] = 0.0
gamma[111, 110, 2] = 0.0
gamma[111, 110, 3] = 0.0
gamma[111, 110, 4] = 0.0
gamma[111, 110, 5] = 0.0
gamma[111, 110, 6] = 0.0
gamma[111, 110, 7] = 0.0
gamma[111, 110, 8] = 0.0
gamma[111, 110, 9] = 0.0
gamma[111, 110, 10] = 0.0
gamma[111, 110, 11] = 0.0
gamma[111, 110, 12] = 0.0
gamma[111, 110, 13] = 0.0
gamma[111, 110, 14] = 0.0
gamma[111, 110, 15] = 0.0
gamma[111, 110, 16] = 0.0
gamma[111, 110, 17] = 0.0
gamma[111, 110, 18] = 0.0
gamma[111, 110, 19] = 0.0
gamma[111, 110, 20] = 0.0
gamma[111, 110, 21] = 0.0
gamma[111, 110, 22] = 0.0
gamma[111, 110, 23] = 0.0
gamma[111, 110, 24] = 0.0
gamma[111, 113, 1] = 0.0
gamma[111, 113, 2] = 0.0
gamma[111, 113, 3] = 0.0
gamma[111, 113, 4] = 0.0
gamma[111, 113, 5] = 0.0
gamma[111, 113, 6] = 0.0
gamma[111, 113, 7] = 0.0
gamma[111, 113, 8] = 0.0
gamma[111, 113, 9] = 0.0
gamma[111, 113, 10] = 0.0
gamma[111, 113, 11] = 0.0
gamma[111, 113, 12] = 0.0
gamma[111, 113, 13] = 0.0
gamma[111, 113, 14] = 0.0
gamma[111, 113, 15] = 0.0
gamma[111, 113, 16] = 0.0
gamma[111, 113, 17] = 0.0
gamma[111, 113, 18] = 0.0
gamma[111, 113, 19] = 0.0
gamma[111, 113, 20] = 0.0
gamma[111, 113, 21] = 0.0
gamma[111, 113, 22] = 0.0
gamma[111, 113, 23] = 0.0
gamma[111, 113, 24] = 0.0
gamma[111, 114, 1] = 0.0
gamma[111, 114, 2] = 0.0
gamma[111, 114, 3] = 0.0
gamma[111, 114, 4] = 0.0
gamma[111, 114, 5] = 0.0
gamma[111, 114, 6] = 0.0
gamma[111, 114, 7] = 0.0
gamma[111, 114, 8] = 0.0
gamma[111, 114, 9] = 0.0
gamma[111, 114, 10] = 0.0
gamma[111, 114, 11] = 0.0
gamma[111, 114, 12] = 0.0
gamma[111, 114, 13] = 0.0
gamma[111, 114, 14] = 0.0
gamma[111, 114, 15] = 0.0
gamma[111, 114, 16] = 0.0
gamma[111, 114, 17] = 0.0
gamma[111, 114, 18] = 0.0
gamma[111, 114, 19] = 0.0
gamma[111, 114, 20] = 0.0
gamma[111, 114, 21] = 0.0
gamma[111, 114, 22] = 0.0
gamma[111, 114, 23] = 0.0
gamma[111, 114, 24] = 0.0
gamma[112, 109, 1] = 0.0
gamma[112, 109, 2] = 0.0
gamma[112, 109, 3] = 0.0
gamma[112, 109, 4] = 0.0
gamma[112, 109, 5] = 0.0
gamma[112, 109, 6] = 0.0
gamma[112, 109, 7] = 0.0
gamma[112, 109, 8] = 0.0
gamma[112, 109, 9] = 0.0
gamma[112, 109, 10] = 0.0
gamma[112, 109, 11] = 0.0
gamma[112, 109, 12] = 0.0
gamma[112, 109, 13] = 0.0
gamma[112, 109, 14] = 0.0
gamma[112, 109, 15] = 0.0
gamma[112, 109, 16] = 0.0
gamma[112, 109, 17] = 0.0
gamma[112, 109, 18] = 0.0
gamma[112, 109, 19] = 0.0
gamma[112, 109, 20] = 0.0
gamma[112, 109, 21] = 0.0
gamma[112, 109, 22] = 0.0
gamma[112, 109, 23] = 0.0
gamma[112, 109, 24] = 0.0
gamma[112, 110, 1] = 0.0
gamma[112, 110, 2] = 0.0
gamma[112, 110, 3] = 0.0
gamma[112, 110, 4] = 0.0
gamma[112, 110, 5] = 0.0
gamma[112, 110, 6] = 0.0
gamma[112, 110, 7] = 0.0
gamma[112, 110, 8] = 0.0
gamma[112, 110, 9] = 0.0
gamma[112, 110, 10] = 0.0
gamma[112, 110, 11] = 0.0
gamma[112, 110, 12] = 0.0
gamma[112, 110, 13] = 0.0
gamma[112, 110, 14] = 0.0
gamma[112, 110, 15] = 0.0
gamma[112, 110, 16] = 0.0
gamma[112, 110, 17] = 0.0
gamma[112, 110, 18] = 0.0
gamma[112, 110, 19] = 0.0
gamma[112, 110, 20] = 0.0
gamma[112, 110, 21] = 0.0
gamma[112, 110, 22] = 0.0
gamma[112, 110, 23] = 0.0
gamma[112, 110, 24] = 0.0
gamma[112, 113, 1] = 0.0
gamma[112, 113, 2] = 0.0
gamma[112, 113, 3] = 0.0
gamma[112, 113, 4] = 0.0
gamma[112, 113, 5] = 0.0
gamma[112, 113, 6] = 0.0
gamma[112, 113, 7] = 0.0
gamma[112, 113, 8] = 0.0
gamma[112, 113, 9] = 0.0
gamma[112, 113, 10] = 0.0
gamma[112, 113, 11] = 0.0
gamma[112, 113, 12] = 0.0
gamma[112, 113, 13] = 0.0
gamma[112, 113, 14] = 0.0
gamma[112, 113, 15] = 0.0
gamma[112, 113, 16] = 0.0
gamma[112, 113, 17] = 0.0
gamma[112, 113, 18] = 0.0
gamma[112, 113, 19] = 0.0
gamma[112, 113, 20] = 0.0
gamma[112, 113, 21] = 0.0
gamma[112, 113, 22] = 0.0
gamma[112, 113, 23] = 0.0
gamma[112, 113, 24] = 0.0
gamma[112, 123, 1] = 0.0
gamma[112, 123, 2] = 0.0
gamma[112, 123, 3] = 0.0
gamma[112, 123, 4] = 0.0
gamma[112, 123, 5] = 0.0
gamma[112, 123, 6] = 0.0
gamma[112, 123, 7] = 0.0
gamma[112, 123, 8] = 0.0
gamma[112, 123, 9] = 0.0
gamma[112, 123, 10] = 0.0
gamma[112, 123, 11] = 0.0
gamma[112, 123, 12] = 0.0
gamma[112, 123, 13] = 0.0
gamma[112, 123, 14] = 0.0
gamma[112, 123, 15] = 0.0
gamma[112, 123, 16] = 0.0
gamma[112, 123, 17] = 0.0
gamma[112, 123, 18] = 0.0
gamma[112, 123, 19] = 0.0
gamma[112, 123, 20] = 0.0
gamma[112, 123, 21] = 0.0
gamma[112, 123, 22] = 0.0
gamma[112, 123, 23] = 0.0
gamma[112, 123, 24] = 0.0
gamma[113, 111, 1] = 0.0
gamma[113, 111, 2] = 0.0
gamma[113, 111, 3] = 0.0
gamma[113, 111, 4] = 0.0
gamma[113, 111, 5] = 0.0
gamma[113, 111, 6] = 0.0
gamma[113, 111, 7] = 0.0
gamma[113, 111, 8] = 0.0
gamma[113, 111, 9] = 0.0
gamma[113, 111, 10] = 0.0
gamma[113, 111, 11] = 0.0
gamma[113, 111, 12] = 0.0
gamma[113, 111, 13] = 0.0
gamma[113, 111, 14] = 0.0
gamma[113, 111, 15] = 0.0
gamma[113, 111, 16] = 0.0
gamma[113, 111, 17] = 0.0
gamma[113, 111, 18] = 0.0
gamma[113, 111, 19] = 0.0
gamma[113, 111, 20] = 0.0
gamma[113, 111, 21] = 0.0
gamma[113, 111, 22] = 0.0
gamma[113, 111, 23] = 0.0
gamma[113, 111, 24] = 0.0
gamma[113, 112, 1] = 0.0
gamma[113, 112, 2] = 0.0
gamma[113, 112, 3] = 0.0
gamma[113, 112, 4] = 0.0
gamma[113, 112, 5] = 0.0
gamma[113, 112, 6] = 0.0
gamma[113, 112, 7] = 0.0
gamma[113, 112, 8] = 0.0
gamma[113, 112, 9] = 0.0
gamma[113, 112, 10] = 0.0
gamma[113, 112, 11] = 0.0
gamma[113, 112, 12] = 0.0
gamma[113, 112, 13] = 0.0
gamma[113, 112, 14] = 0.0
gamma[113, 112, 15] = 0.0
gamma[113, 112, 16] = 0.0
gamma[113, 112, 17] = 0.0
gamma[113, 112, 18] = 0.0
gamma[113, 112, 19] = 0.0
gamma[113, 112, 20] = 0.0
gamma[113, 112, 21] = 0.0
gamma[113, 112, 22] = 0.0
gamma[113, 112, 23] = 0.0
gamma[113, 112, 24] = 0.0
gamma[113, 123, 1] = 0.0
gamma[113, 123, 2] = 0.0
gamma[113, 123, 3] = 0.0
gamma[113, 123, 4] = 0.0
gamma[113, 123, 5] = 0.0
gamma[113, 123, 6] = 0.0
gamma[113, 123, 7] = 0.0
gamma[113, 123, 8] = 0.0
gamma[113, 123, 9] = 0.0
gamma[113, 123, 10] = 0.0
gamma[113, 123, 11] = 0.0
gamma[113, 123, 12] = 0.0
gamma[113, 123, 13] = 0.0
gamma[113, 123, 14] = 0.0
gamma[113, 123, 15] = 0.0
gamma[113, 123, 16] = 0.0
gamma[113, 123, 17] = 0.0
gamma[113, 123, 18] = 0.0
gamma[113, 123, 19] = 0.0
gamma[113, 123, 20] = 0.0
gamma[113, 123, 21] = 0.0
gamma[113, 123, 22] = 0.0
gamma[113, 123, 23] = 0.0
gamma[113, 123, 24] = 0.0
gamma[113, 215, 1] = 0.0
gamma[113, 215, 2] = 0.0
gamma[113, 215, 3] = 0.0
gamma[113, 215, 4] = 0.0
gamma[113, 215, 5] = 0.0
gamma[113, 215, 6] = 0.0
gamma[113, 215, 7] = 0.0
gamma[113, 215, 8] = 0.0
gamma[113, 215, 9] = 0.0
gamma[113, 215, 10] = 0.0
gamma[113, 215, 11] = 0.0
gamma[113, 215, 12] = 0.0
gamma[113, 215, 13] = 0.0
gamma[113, 215, 14] = 0.0
gamma[113, 215, 15] = 0.0
gamma[113, 215, 16] = 0.0
gamma[113, 215, 17] = 0.0
gamma[113, 215, 18] = 0.0
gamma[113, 215, 19] = 0.0
gamma[113, 215, 20] = 0.0
gamma[113, 215, 21] = 0.0
gamma[113, 215, 22] = 0.0
gamma[113, 215, 23] = 0.0
gamma[113, 215, 24] = 0.0
gamma[114, 111, 1] = 0.0
gamma[114, 111, 2] = 0.0
gamma[114, 111, 3] = 0.0
gamma[114, 111, 4] = 0.0
gamma[114, 111, 5] = 0.0
gamma[114, 111, 6] = 0.0
gamma[114, 111, 7] = 0.0
gamma[114, 111, 8] = 0.0
gamma[114, 111, 9] = 0.0
gamma[114, 111, 10] = 0.0
gamma[114, 111, 11] = 0.0
gamma[114, 111, 12] = 0.0
gamma[114, 111, 13] = 0.0
gamma[114, 111, 14] = 0.0
gamma[114, 111, 15] = 0.0
gamma[114, 111, 16] = 0.0
gamma[114, 111, 17] = 0.0
gamma[114, 111, 18] = 0.0
gamma[114, 111, 19] = 0.0
gamma[114, 111, 20] = 0.0
gamma[114, 111, 21] = 0.0
gamma[114, 111, 22] = 0.0
gamma[114, 111, 23] = 0.0
gamma[114, 111, 24] = 0.0
gamma[114, 116, 1] = 0.0
gamma[114, 116, 2] = 0.0
gamma[114, 116, 3] = 0.0
gamma[114, 116, 4] = 0.0
gamma[114, 116, 5] = 0.0
gamma[114, 116, 6] = 0.0
gamma[114, 116, 7] = 0.0
gamma[114, 116, 8] = 0.0
gamma[114, 116, 9] = 0.0
gamma[114, 116, 10] = 0.0
gamma[114, 116, 11] = 0.0
gamma[114, 116, 12] = 0.0
gamma[114, 116, 13] = 0.0
gamma[114, 116, 14] = 0.0
gamma[114, 116, 15] = 0.0
gamma[114, 116, 16] = 0.0
gamma[114, 116, 17] = 0.0
gamma[114, 116, 18] = 0.0
gamma[114, 116, 19] = 0.0
gamma[114, 116, 20] = 0.0
gamma[114, 116, 21] = 0.0
gamma[114, 116, 22] = 0.0
gamma[114, 116, 23] = 0.0
gamma[114, 116, 24] = 0.0
gamma[123, 112, 1] = 0.0
gamma[123, 112, 2] = 0.0
gamma[123, 112, 3] = 0.0
gamma[123, 112, 4] = 0.0
gamma[123, 112, 5] = 0.0
gamma[123, 112, 6] = 0.0
gamma[123, 112, 7] = 0.0
gamma[123, 112, 8] = 0.0
gamma[123, 112, 9] = 0.0
gamma[123, 112, 10] = 0.0
gamma[123, 112, 11] = 0.0
gamma[123, 112, 12] = 0.0
gamma[123, 112, 13] = 0.0
gamma[123, 112, 14] = 0.0
gamma[123, 112, 15] = 0.0
gamma[123, 112, 16] = 0.0
gamma[123, 112, 17] = 0.0
gamma[123, 112, 18] = 0.0
gamma[123, 112, 19] = 0.0
gamma[123, 112, 20] = 0.0
gamma[123, 112, 21] = 0.0
gamma[123, 112, 22] = 0.0
gamma[123, 112, 23] = 0.0
gamma[123, 112, 24] = 0.0
gamma[123, 113, 1] = 0.0
gamma[123, 113, 2] = 0.0
gamma[123, 113, 3] = 0.0
gamma[123, 113, 4] = 0.0
gamma[123, 113, 5] = 0.0
gamma[123, 113, 6] = 0.0
gamma[123, 113, 7] = 0.0
gamma[123, 113, 8] = 0.0
gamma[123, 113, 9] = 0.0
gamma[123, 113, 10] = 0.0
gamma[123, 113, 11] = 0.0
gamma[123, 113, 12] = 0.0
gamma[123, 113, 13] = 0.0
gamma[123, 113, 14] = 0.0
gamma[123, 113, 15] = 0.0
gamma[123, 113, 16] = 0.0
gamma[123, 113, 17] = 0.0
gamma[123, 113, 18] = 0.0
gamma[123, 113, 19] = 0.0
gamma[123, 113, 20] = 0.0
gamma[123, 113, 21] = 0.0
gamma[123, 113, 22] = 0.0
gamma[123, 113, 23] = 0.0
gamma[123, 113, 24] = 0.0
gamma[123, 120, 1] = 0.0
gamma[123, 120, 2] = 0.0
gamma[123, 120, 3] = 0.0
gamma[123, 120, 4] = 0.0
gamma[123, 120, 5] = 0.0
gamma[123, 120, 6] = 0.0
gamma[123, 120, 7] = 0.0
gamma[123, 120, 8] = 0.0
gamma[123, 120, 9] = 0.0
gamma[123, 120, 10] = 0.0
gamma[123, 120, 11] = 0.0
gamma[123, 120, 12] = 0.0
gamma[123, 120, 13] = 0.0
gamma[123, 120, 14] = 0.0
gamma[123, 120, 15] = 0.0
gamma[123, 120, 16] = 0.0
gamma[123, 120, 17] = 0.0
gamma[123, 120, 18] = 0.0
gamma[123, 120, 19] = 0.0
gamma[123, 120, 20] = 0.0
gamma[123, 120, 21] = 0.0
gamma[123, 120, 22] = 0.0
gamma[123, 120, 23] = 0.0
gamma[123, 120, 24] = 0.0
gamma[215, 113, 1] = 0.0
gamma[215, 113, 2] = 0.0
gamma[215, 113, 3] = 0.0
gamma[215, 113, 4] = 0.0
gamma[215, 113, 5] = 0.0
gamma[215, 113, 6] = 0.0
gamma[215, 113, 7] = 0.0
gamma[215, 113, 8] = 0.0
gamma[215, 113, 9] = 0.0
gamma[215, 113, 10] = 0.0
gamma[215, 113, 11] = 0.0
gamma[215, 113, 12] = 0.0
gamma[215, 113, 13] = 0.0
gamma[215, 113, 14] = 0.0
gamma[215, 113, 15] = 0.0
gamma[215, 113, 16] = 0.0
gamma[215, 113, 17] = 0.0
gamma[215, 113, 18] = 0.0
gamma[215, 113, 19] = 0.0
gamma[215, 113, 20] = 0.0
gamma[215, 113, 21] = 0.0
gamma[215, 113, 22] = 0.0
gamma[215, 113, 23] = 0.0
gamma[215, 113, 24] = 0.0
gamma[116, 114, 1] = 0.0
gamma[116, 114, 2] = 0.0
gamma[116, 114, 3] = 0.0
gamma[116, 114, 4] = 0.0
gamma[116, 114, 5] = 0.0
gamma[116, 114, 6] = 0.0
gamma[116, 114, 7] = 0.0
gamma[116, 114, 8] = 0.0
gamma[116, 114, 9] = 0.0
gamma[116, 114, 10] = 0.0
gamma[116, 114, 11] = 0.0
gamma[116, 114, 12] = 0.0
gamma[116, 114, 13] = 0.0
gamma[116, 114, 14] = 0.0
gamma[116, 114, 15] = 0.0
gamma[116, 114, 16] = 0.0
gamma[116, 114, 17] = 0.0
gamma[116, 114, 18] = 0.0
gamma[116, 114, 19] = 0.0
gamma[116, 114, 20] = 0.0
gamma[116, 114, 21] = 0.0
gamma[116, 114, 22] = 0.0
gamma[116, 114, 23] = 0.0
gamma[116, 114, 24] = 0.0
gamma[116, 115, 1] = 0.0
